,timestamp,energy,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeBST,TimeGMT,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp.1,weekday,hour
0,2014-12-01 00:00:00,2.76300001,Unknown,2014-12-01 00:20:00<br />,6.0,,-,93.0,,1015,7.0,,12:20 AM,10.0,Variable,5.6,0,2014-12-01 00:20:00,1,0
1,2014-12-01 01:00:00,2.86200004,Unknown,2014-12-01 01:20:00<br />,3.0,,-,87.0,,1015,5.0,,1:20 AM,10.0,NNW,11.1,340,2014-12-01 01:20:00,1,1
2,2014-12-01 02:00:00,2.92200002,Unknown,2014-12-01 02:20:00<br />,4.0,,-,93.0,,1015,5.0,,2:20 AM,10.0,NNW,13.0,330,2014-12-01 02:20:00,1,2
3,2014-12-01 03:00:00,2.88999999,Overcast,2014-12-01 03:20:00<br />,5.0,,-,93.0,,1015,6.0,,3:20 AM,10.0,NNW,9.3,330,2014-12-01 03:20:00,1,3
4,2014-12-01 04:00:00,3.24299999,Overcast,2014-12-01 04:20:00<br />,6.0,,-,93.0,,1015,7.0,,4:20 AM,10.0,NNW,9.3,340,2014-12-01 04:20:00,1,4
5,2014-12-01 05:00:00,4.46,Overcast,2014-12-01 05:20:00<br />,6.0,,-,93.0,,1015,7.0,,5:20 AM,10.0,North,11.1,350,2014-12-01 05:20:00,1,5
6,2014-12-01 06:00:00,4.69100004,Overcast,2014-12-01 06:20:00<br />,6.0,,-,93.0,,1015,7.0,,6:20 AM,10.0,North,9.3,360,2014-12-01 06:20:00,1,6
7,2014-12-01 07:00:00,5.17300004,Overcast,2014-12-01 07:20:00<br />,6.0,,-,87.0,,1015,8.0,,7:20 AM,10.0,North,7.4,350,2014-12-01 07:20:00,1,7
8,2014-12-01 08:00:00,11.52500008,Overcast,2014-12-01 08:20:00<br />,7.0,,-,93.0,,1015,8.0,,8:20 AM,10.0,North,5.6,350,2014-12-01 08:20:00,1,8
9,2014-12-01 09:00:00,17.878999899999997,Overcast,2014-12-01 09:20:00<br />,7.0,,-,93.0,,1015,8.0,,9:20 AM,10.0,North,7.4,10,2014-12-01 09:20:00,1,9
10,2014-12-01 10:00:00,22.5820005,Overcast,2014-12-01 10:20:00<br />,7.0,,-,87.0,,1015,9.0,,10:20 AM,10.0,NNE,7.4,30,2014-12-01 10:20:00,1,10
11,2014-12-01 11:00:00,22.442000600000004,Mostly Cloudy,2014-12-01 11:20:00<br />,7.0,,-,87.0,,1015,9.0,,11:20 AM,8.0,ENE,9.3,70,2014-12-01 11:20:00,1,11
12,2014-12-01 12:00:00,22.3549999,Overcast,2014-12-01 12:20:00<br />,7.0,,-,87.0,,1015,9.0,,12:20 PM,6.0,East,11.1,100,2014-12-01 12:20:00,1,12
13,2014-12-01 13:00:00,20.51299998,Overcast,2014-12-01 13:20:00<br />,7.0,,-,87.0,,1014,9.0,,1:20 PM,6.0,ENE,5.6,70,2014-12-01 13:20:00,1,13
14,2014-12-01 14:00:00,19.00900019,Mostly Cloudy,2014-12-01 14:20:00<br />,7.0,,-,87.0,,1014,9.0,,2:20 PM,6.0,ENE,5.6,60,2014-12-01 14:20:00,1,14
15,2014-12-01 15:00:00,22.9180001,Mostly Cloudy,2014-12-01 15:20:00<br />,7.0,,-,93.0,,1014,8.0,,3:20 PM,8.0,ENE,5.6,60,2014-12-01 15:20:00,1,15
16,2014-12-01 16:00:00,21.05799991,Mostly Cloudy,2014-12-01 16:20:00<br />,7.0,,-,93.0,,1014,8.0,,4:20 PM,7.0,East,3.7,80,2014-12-01 16:20:00,1,16
17,2014-12-01 17:00:00,18.40200009,Overcast,2014-12-01 17:20:00<br />,7.0,,-,93.0,,1014,8.0,,5:20 PM,8.0,ENE,3.7,60,2014-12-01 17:20:00,1,17
18,2014-12-01 18:00:00,10.69399993,Overcast,2014-12-01 18:20:00<br />,7.0,,-,93.0,,1014,8.0,,6:20 PM,8.0,East,3.7,80,2014-12-01 18:20:00,1,18
19,2014-12-01 19:00:00,11.35200003,Overcast,2014-12-01 19:20:00<br />,7.0,,-,93.0,,1014,8.0,,7:20 PM,7.0,North,1.9,10,2014-12-01 19:20:00,1,19
20,2014-12-01 20:00:00,4.85500002,Overcast,2014-12-01 20:20:00<br />,7.0,,-,93.0,,1014,8.0,,8:20 PM,7.0,Variable,3.7,0,2014-12-01 20:20:00,1,20
21,2014-12-01 21:00:00,3.71399998,Mostly Cloudy,2014-12-01 21:20:00<br />,7.0,,-,93.0,,1015,8.0,,9:20 PM,7.0,West,1.9,260,2014-12-01 21:20:00,1,21
22,2014-12-01 22:00:00,3.89600002,Overcast,2014-12-01 22:20:00<br />,7.0,,-,93.0,,1015,8.0,,10:20 PM,7.0,WSW,5.6,240,2014-12-01 22:20:00,1,22
23,2014-12-01 23:00:00,4.05300005,Mostly Cloudy,2014-12-01 23:20:00<br />,7.0,,-,93.0,,1015,8.0,,11:20 PM,8.0,WNW,5.6,290,2014-12-01 23:20:00,1,23
24,2014-12-02 00:00:00,4.07900004,Mostly Cloudy,2014-12-02 00:20:00<br />,7.0,,-,93.0,,1015,8.0,,12:20 AM,8.0,WNW,9.3,300,2014-12-02 00:20:00,2,0
25,2014-12-02 01:00:00,3.7239999999999998,Mostly Cloudy,2014-12-02 01:20:00<br />,7.0,,-,93.0,,1015,8.0,,1:20 AM,9.0,NW,13.0,310,2014-12-02 01:20:00,2,1
26,2014-12-02 02:00:00,3.84000007,Overcast,2014-12-02 02:20:00<br />,7.0,,-,93.0,,1015,8.0,,2:20 AM,5.0,NW,7.4,310,2014-12-02 02:20:00,2,2
27,2014-12-02 03:00:00,3.73400002,Overcast,2014-12-02 03:20:00<br />,7.0,,-,93.0,,1016,8.0,,3:20 AM,10.0,NNW,11.1,330,2014-12-02 03:20:00,2,3
28,2014-12-02 04:00:00,3.636,Scattered Clouds,2014-12-02 04:20:00<br />,7.0,,-,93.0,,1016,8.0,,4:20 AM,10.0,NW,14.8,320,2014-12-02 04:20:00,2,4
