,timestamp,energy,TimeMST,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC<br />,timestamp.1,weekday,hour
0,2015-01-01 07:00:00,11.78,7:51 AM,2.8,0.6,86.0,1019.8,16.1,East,7.4,-,,,Mostly Cloudy,90,2015-01-01 14:51:00<br />,2015-01-01 07:51:00,4,7
1,2015-01-01 08:00:00,11.94,8:51 AM,2.8,0.0,82.0,1020.4,16.1,Calm,Calm,-,,,Mostly Cloudy,0,2015-01-01 15:51:00<br />,2015-01-01 08:51:00,4,8
2,2015-01-01 09:00:00,11.63,9:51 AM,3.9,0.0,76.0,1021.0,16.1,Calm,Calm,-,,,Mostly Cloudy,0,2015-01-01 16:51:00<br />,2015-01-01 09:51:00,4,9
3,2015-01-01 10:00:00,11.9,10:51 AM,5.0,-1.1,65.0,1021.3,16.1,North,9.3,-,,,Mostly Cloudy,350,2015-01-01 17:51:00<br />,2015-01-01 10:51:00,4,10
4,2015-01-01 11:00:00,11.81,11:21 AM,5.6,-1.7,60.0,1020.5,16.1,Variable,5.6,-,,,Mostly Cloudy,0,2015-01-01 18:21:00<br />,2015-01-01 11:21:00,4,11
5,2015-01-01 12:00:00,12.15,12:04 PM,5.6,-2.2,58.0,1020.2,16.1,North,11.1,-,,,Mostly Cloudy,360,2015-01-01 19:04:00<br />,2015-01-01 12:04:00,4,12
6,2015-01-01 13:00:00,11.7,1:51 PM,6.7,-2.8,51.0,1019.1,16.1,Calm,Calm,-,,,Mostly Cloudy,0,2015-01-01 20:51:00<br />,2015-01-01 13:51:00,4,13
7,2015-01-01 14:00:00,11.53,2:51 PM,7.2,-3.3,48.0,1018.5,16.1,NNW,7.4,-,,,Mostly Cloudy,340,2015-01-01 21:51:00<br />,2015-01-01 14:51:00,4,14
8,2015-01-01 15:00:00,11.78,3:51 PM,7.2,-3.3,48.0,1018.6,16.1,WSW,5.6,-,,,Mostly Cloudy,240,2015-01-01 22:51:00<br />,2015-01-01 15:51:00,4,15
9,2015-01-01 16:00:00,11.82,4:51 PM,7.2,-3.3,48.0,1018.7,16.1,Calm,Calm,-,,,Mostly Cloudy,0,2015-01-01 23:51:00<br />,2015-01-01 16:51:00,4,16
10,2015-01-01 17:00:00,11.7,5:51 PM,7.2,-2.8,49.0,1018.9,16.1,Variable,5.6,-,,,Mostly Cloudy,0,2015-01-02 00:51:00<br />,2015-01-01 17:51:00,4,17
11,2015-01-01 18:00:00,11.87,6:51 PM,6.1,-2.2,56.0,1019.2,16.1,WSW,11.1,-,,,Partly Cloudy,240,2015-01-02 01:51:00<br />,2015-01-01 18:51:00,4,18
12,2015-01-01 19:00:00,11.94,7:51 PM,5.0,-1.7,62.0,1019.3,16.1,WSW,9.3,-,,,Clear,250,2015-01-02 02:51:00<br />,2015-01-01 19:51:00,4,19
13,2015-01-01 20:00:00,11.86,8:51 PM,5.0,-2.2,60.0,1019.1,16.1,West,7.4,-,,,Clear,270,2015-01-02 03:51:00<br />,2015-01-01 20:51:00,4,20
14,2015-01-01 21:00:00,11.88,9:51 PM,5.0,-2.8,57.0,1019.0,16.1,WNW,11.1,-,,,Clear,300,2015-01-02 04:51:00<br />,2015-01-01 21:51:00,4,21
15,2015-01-01 22:00:00,11.51,10:51 PM,2.8,-1.1,76.0,1018.6,16.1,SW,5.6,-,,,Clear,230,2015-01-02 05:51:00<br />,2015-01-01 22:51:00,4,22
