,timestamp,energy,TimeMST,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC<br />,timestamp.1,weekday,hour,rand,seasonal
0,2015-01-01 07:00:00,5.33,7:51 AM,2.8,0.6,86.0,1019.8,16.1,East,7.4,-,,,Mostly Cloudy,90,2015-01-01 14:51:00<br />,2015-01-01 07:51:00,4,7,7,Holiday
1,2015-01-01 08:00:00,5.41,8:51 AM,2.8,0.0,82.0,1020.4,16.1,Calm,Calm,-,,,Mostly Cloudy,0,2015-01-01 15:51:00<br />,2015-01-01 08:51:00,4,8,48,Holiday
2,2015-01-01 09:00:00,5.6,9:51 AM,3.9,0.0,76.0,1021.0,16.1,Calm,Calm,-,,,Mostly Cloudy,0,2015-01-01 16:51:00<br />,2015-01-01 09:51:00,4,9,2,Holiday
3,2015-01-01 10:00:00,6.5,10:51 AM,5.0,-1.1,65.0,1021.3,16.1,North,9.3,-,,,Mostly Cloudy,350,2015-01-01 17:51:00<br />,2015-01-01 10:51:00,4,10,32,Holiday
4,2015-01-01 11:00:00,5.39,11:21 AM,5.6,-1.7,60.0,1020.5,16.1,Variable,5.6,-,,,Mostly Cloudy,0,2015-01-01 18:21:00<br />,2015-01-01 11:21:00,4,11,37,Holiday
5,2015-01-01 12:00:00,6.61,12:04 PM,5.6,-2.2,58.0,1020.2,16.1,North,11.1,-,,,Mostly Cloudy,360,2015-01-01 19:04:00<br />,2015-01-01 12:04:00,4,12,4,Holiday
6,2015-01-01 13:00:00,6.38,1:51 PM,6.7,-2.8,51.0,1019.1,16.1,Calm,Calm,-,,,Mostly Cloudy,0,2015-01-01 20:51:00<br />,2015-01-01 13:51:00,4,13,51,Holiday
7,2015-01-01 14:00:00,6.86,2:51 PM,7.2,-3.3,48.0,1018.5,16.1,NNW,7.4,-,,,Mostly Cloudy,340,2015-01-01 21:51:00<br />,2015-01-01 14:51:00,4,14,89,Holiday
8,2015-01-01 15:00:00,5.65,3:51 PM,7.2,-3.3,48.0,1018.6,16.1,WSW,5.6,-,,,Mostly Cloudy,240,2015-01-01 22:51:00<br />,2015-01-01 15:51:00,4,15,65,Holiday
9,2015-01-01 16:00:00,6.67,4:51 PM,7.2,-3.3,48.0,1018.7,16.1,Calm,Calm,-,,,Mostly Cloudy,0,2015-01-01 23:51:00<br />,2015-01-01 16:51:00,4,16,15,Holiday
10,2015-01-01 17:00:00,5.22,5:51 PM,7.2,-2.8,49.0,1018.9,16.1,Variable,5.6,-,,,Mostly Cloudy,0,2015-01-02 00:51:00<br />,2015-01-01 17:51:00,4,17,20,Holiday
11,2015-01-01 18:00:00,5.08,6:51 PM,6.1,-2.2,56.0,1019.2,16.1,WSW,11.1,-,,,Partly Cloudy,240,2015-01-02 01:51:00<br />,2015-01-01 18:51:00,4,18,17,Holiday
12,2015-01-01 19:00:00,5.21,7:51 PM,5.0,-1.7,62.0,1019.3,16.1,WSW,9.3,-,,,Clear,250,2015-01-02 02:51:00<br />,2015-01-01 19:51:00,4,19,51,Holiday
13,2015-01-01 20:00:00,5.28,8:51 PM,5.0,-2.2,60.0,1019.1,16.1,West,7.4,-,,,Clear,270,2015-01-02 03:51:00<br />,2015-01-01 20:51:00,4,20,27,Holiday
14,2015-01-01 21:00:00,4.95,9:51 PM,5.0,-2.8,57.0,1019.0,16.1,WNW,11.1,-,,,Clear,300,2015-01-02 04:51:00<br />,2015-01-01 21:51:00,4,21,18,Holiday
15,2015-01-01 22:00:00,4.74,10:51 PM,2.8,-1.1,76.0,1018.6,16.1,SW,5.6,-,,,Clear,230,2015-01-02 05:51:00<br />,2015-01-01 22:51:00,4,22,43,Holiday
16,2015-01-01 23:00:00,4.98,11:51 PM,2.2,-1.1,79.0,1018.5,16.1,WSW,5.6,-,,,Clear,240,2015-01-02 06:51:00<br />,2015-01-01 23:51:00,4,23,35,Holiday
17,2015-01-02 00:00:00,4.95,12:51 AM,2.2,-2.2,73.0,1018.2,16.1,West,9.3,-,,,Clear,260,2015-01-02 07:51:00<br />,2015-01-02 00:51:00,5,0,72,Break
18,2015-01-02 01:00:00,5.34,1:51 AM,1.7,-2.2,76.0,1017.9,16.1,Calm,Calm,-,,,Clear,0,2015-01-02 08:51:00<br />,2015-01-02 01:51:00,5,1,83,Break
19,2015-01-02 02:00:00,5.32,2:51 AM,1.7,-2.2,76.0,1018.0,16.1,Calm,Calm,-,,,Clear,0,2015-01-02 09:51:00<br />,2015-01-02 02:51:00,5,2,93,Break
20,2015-01-02 03:00:00,5.27,3:51 AM,1.1,-2.2,79.0,1017.5,16.1,Calm,Calm,-,,,Clear,0,2015-01-02 10:51:00<br />,2015-01-02 03:51:00,5,3,11,Break
21,2015-01-02 04:00:00,5.23,4:51 AM,0.6,-2.2,82.0,1017.3,16.1,SW,7.4,-,,,Clear,220,2015-01-02 11:51:00<br />,2015-01-02 04:51:00,5,4,88,Break
22,2015-01-02 05:00:00,5.18,5:51 AM,0.0,-2.2,85.0,1017.1,16.1,SW,7.4,-,,,Clear,220,2015-01-02 12:51:00<br />,2015-01-02 05:51:00,5,5,32,Break
23,2015-01-02 06:00:00,5.66,6:51 AM,0.0,-2.2,85.0,1017.5,16.1,Calm,Calm,-,,,Clear,0,2015-01-02 13:51:00<br />,2015-01-02 06:51:00,5,6,23,Break
24,2015-01-02 07:00:00,5.68,7:51 AM,0.6,-2.2,82.0,1018.1,16.1,West,7.4,-,,,Partly Cloudy,260,2015-01-02 14:51:00<br />,2015-01-02 07:51:00,5,7,81,Break
25,2015-01-02 08:00:00,5.74,8:51 AM,1.7,-2.2,76.0,1018.7,16.1,West,9.3,-,,,Partly Cloudy,270,2015-01-02 15:51:00<br />,2015-01-02 08:51:00,5,8,91,Break
26,2015-01-02 09:00:00,5.78,9:51 AM,3.9,-1.7,67.0,1018.9,16.1,SW,9.3,-,,,Partly Cloudy,230,2015-01-02 16:51:00<br />,2015-01-02 09:51:00,5,9,80,Break
27,2015-01-02 10:00:00,5.76,10:51 AM,5.6,-2.2,58.0,1018.4,16.1,SSW,5.6,-,,,Partly Cloudy,210,2015-01-02 17:51:00<br />,2015-01-02 10:51:00,5,10,95,Break
28,2015-01-02 11:00:00,6.47,11:51 AM,7.2,-4.4,44.0,1017.2,16.1,Calm,Calm,-,,,Partly Cloudy,0,2015-01-02 18:51:00<br />,2015-01-02 11:51:00,5,11,47,Break
29,2015-01-02 12:00:00,6.47,12:51 PM,10.0,-3.9,38.0,1016.1,16.1,WSW,11.1,-,,,Partly Cloudy,240,2015-01-02 19:51:00<br />,2015-01-02 12:51:00,5,12,4,Break
30,2015-01-02 13:00:00,6.81,1:51 PM,10.6,-5.0,33.0,1015.4,16.1,SW,11.1,-,,,Partly Cloudy,230,2015-01-02 20:51:00<br />,2015-01-02 13:51:00,5,13,80,Break
31,2015-01-02 14:00:00,6.7,2:51 PM,11.7,-5.6,30.0,1015.5,16.1,Variable,5.6,-,,,Partly Cloudy,0,2015-01-02 21:51:00<br />,2015-01-02 14:51:00,5,14,31,Break
32,2015-01-02 15:00:00,7.17,3:51 PM,11.7,-6.1,29.0,1015.8,16.1,WSW,11.1,-,,,Partly Cloudy,240,2015-01-02 22:51:00<br />,2015-01-02 15:51:00,5,15,87,Break
33,2015-01-02 16:00:00,7.24,4:51 PM,11.1,-5.6,31.0,1016.0,16.1,SW,13.0,-,,,Partly Cloudy,230,2015-01-02 23:51:00<br />,2015-01-02 16:51:00,5,16,44,Break
34,2015-01-02 17:00:00,17.18,5:51 PM,10.0,-5.0,35.0,1016.6,16.1,WSW,9.3,-,,,Clear,240,2015-01-03 00:51:00<br />,2015-01-02 17:51:00,5,17,71,Break
35,2015-01-02 18:00:00,9.5025,6:51 PM,8.9,-3.9,41.0,1017.4,16.1,SSE,7.4,-,,,Clear,160,2015-01-03 01:51:00<br />,2015-01-02 18:51:00,5,18,19,Break
36,2015-01-02 19:00:00,19.01,7:51 PM,7.2,-3.3,48.0,1018.0,16.1,SE,9.3,-,,,Clear,140,2015-01-03 02:51:00<br />,2015-01-02 19:51:00,5,19,21,Break
37,2015-01-02 20:00:00,16.61,8:51 PM,6.1,-2.2,56.0,1018.7,16.1,ESE,9.3,-,,,Clear,110,2015-01-03 03:51:00<br />,2015-01-02 20:51:00,5,20,44,Break
38,2015-01-02 21:00:00,15.38,9:51 PM,5.6,-2.2,58.0,1018.8,16.1,East,16.7,-,,,Clear,80,2015-01-03 04:51:00<br />,2015-01-02 21:51:00,5,21,44,Break
39,2015-01-02 22:00:00,15.23,10:51 PM,5.0,-1.7,62.0,1019.3,16.1,East,13.0,-,,,Clear,80,2015-01-03 05:51:00<br />,2015-01-02 22:51:00,5,22,80,Break
40,2015-01-02 23:00:00,13.6,11:51 PM,5.0,-1.7,62.0,1019.9,16.1,ENE,11.1,-,,,Clear,70,2015-01-03 06:51:00<br />,2015-01-02 23:51:00,5,23,43,Break
41,2015-01-03 00:00:00,13.3,12:51 AM,3.9,-1.1,70.0,1020.0,16.1,East,9.3,-,,,Clear,100,2015-01-03 07:51:00<br />,2015-01-03 00:51:00,6,0,33,Break
42,2015-01-03 01:00:00,10.74,1:51 AM,3.3,-1.1,73.0,1020.3,16.1,East,11.1,-,,,Clear,90,2015-01-03 08:51:00<br />,2015-01-03 01:51:00,6,1,44,Break
43,2015-01-03 02:00:00,9.15,2:51 AM,2.8,-1.1,76.0,1020.8,16.1,East,13.0,-,,,Clear,90,2015-01-03 09:51:00<br />,2015-01-03 02:51:00,6,2,94,Break
44,2015-01-03 03:00:00,10.27,3:51 AM,2.2,-1.1,79.0,1020.9,16.1,East,11.1,-,,,Clear,90,2015-01-03 10:51:00<br />,2015-01-03 03:51:00,6,3,54,Break
45,2015-01-03 04:00:00,10.65,4:51 AM,1.7,-1.7,78.0,1020.9,16.1,East,11.1,-,,,Clear,100,2015-01-03 11:51:00<br />,2015-01-03 04:51:00,6,4,15,Break
46,2015-01-03 05:00:00,10.58,5:51 AM,1.7,-1.7,78.0,1021.1,16.1,ESE,13.0,-,,,Clear,120,2015-01-03 12:51:00<br />,2015-01-03 05:51:00,6,5,59,Break
47,2015-01-03 06:00:00,10.42,6:51 AM,1.1,-2.2,79.0,1021.8,16.1,East,11.1,-,,,Clear,100,2015-01-03 13:51:00<br />,2015-01-03 06:51:00,6,6,86,Break
48,2015-01-03 07:00:00,11.4,7:51 AM,1.1,-2.2,79.0,1023.1,16.1,East,9.3,-,,,Clear,100,2015-01-03 14:51:00<br />,2015-01-03 07:51:00,6,7,9,Break
49,2015-01-03 08:00:00,10.38,8:51 AM,3.9,-1.7,67.0,1023.7,16.1,ESE,9.3,-,,,Clear,120,2015-01-03 15:51:00<br />,2015-01-03 08:51:00,6,8,46,Break
50,2015-01-03 09:00:00,10.52,9:51 AM,6.1,-1.7,58.0,1024.7,16.1,East,9.3,-,,,Clear,100,2015-01-03 16:51:00<br />,2015-01-03 09:51:00,6,9,57,Break
51,2015-01-03 10:00:00,11.07,10:51 AM,7.8,-2.2,50.0,1024.6,16.1,SSE,9.3,-,,,Clear,150,2015-01-03 17:51:00<br />,2015-01-03 10:51:00,6,10,62,Break
52,2015-01-03 11:00:00,10.32,11:51 AM,9.4,-2.2,44.0,1024.0,16.1,Calm,Calm,-,,,Clear,0,2015-01-03 18:51:00<br />,2015-01-03 11:51:00,6,11,96,Break
53,2015-01-03 12:00:00,13.09,12:51 PM,10.0,-3.3,39.0,1022.9,16.1,Variable,7.4,-,,,Clear,0,2015-01-03 19:51:00<br />,2015-01-03 12:51:00,6,12,7,Break
54,2015-01-03 13:00:00,18.11,1:51 PM,10.6,-3.9,36.0,1022.2,16.1,Calm,Calm,-,,,Clear,0,2015-01-03 20:51:00<br />,2015-01-03 13:51:00,6,13,47,Break
55,2015-01-03 14:00:00,13.47,2:51 PM,11.7,-3.9,34.0,1022.1,16.1,Calm,Calm,-,,,Clear,0,2015-01-03 21:51:00<br />,2015-01-03 14:51:00,6,14,27,Break
56,2015-01-03 15:00:00,15.16,3:51 PM,12.2,-3.9,33.0,1022.5,16.1,SW,5.6,-,,,Clear,220,2015-01-03 22:51:00<br />,2015-01-03 15:51:00,6,15,23,Break
57,2015-01-03 16:00:00,11.26,4:51 PM,12.2,-3.3,34.0,1022.9,16.1,SSW,5.6,-,,,Clear,200,2015-01-03 23:51:00<br />,2015-01-03 16:51:00,6,16,61,Break
58,2015-01-03 17:00:00,8.96,5:51 PM,10.6,-2.2,41.0,1023.3,16.1,SW,5.6,-,,,Partly Cloudy,230,2015-01-04 00:51:00<br />,2015-01-03 17:51:00,6,17,34,Break
59,2015-01-03 18:00:00,9.3,6:51 PM,10.0,-1.7,44.0,1023.8,16.1,Calm,Calm,-,,,Partly Cloudy,0,2015-01-04 01:51:00<br />,2015-01-03 18:51:00,6,18,0,Break
60,2015-01-03 19:00:00,8.77,7:51 PM,8.9,-2.2,46.0,1024.5,16.1,Calm,Calm,-,,,Clear,0,2015-01-04 02:51:00<br />,2015-01-03 19:51:00,6,19,19,Break
61,2015-01-03 20:00:00,7.12,8:51 PM,8.3,-1.1,52.0,1025.0,16.1,ESE,5.6,-,,,Clear,110,2015-01-04 03:51:00<br />,2015-01-03 20:51:00,6,20,22,Break
62,2015-01-03 21:00:00,7.85,9:51 PM,6.7,-0.6,60.0,1025.4,16.1,East,5.6,-,,,Clear,100,2015-01-04 04:51:00<br />,2015-01-03 21:51:00,6,21,80,Break
63,2015-01-03 22:00:00,7.25,10:51 PM,6.1,-0.6,62.0,1026.2,16.1,East,9.3,-,,,Clear,100,2015-01-04 05:51:00<br />,2015-01-03 22:51:00,6,22,49,Break
64,2015-01-03 23:00:00,7.8,11:51 PM,5.6,-0.6,65.0,1026.6,16.1,Calm,Calm,-,,,Clear,0,2015-01-04 06:51:00<br />,2015-01-03 23:51:00,6,23,77,Break
65,2015-01-04 00:00:00,7.9,12:51 AM,5.0,-0.6,67.0,1026.7,16.1,Calm,Calm,-,,,Clear,0,2015-01-04 07:51:00<br />,2015-01-04 00:51:00,7,0,30,Break
66,2015-01-04 01:00:00,11.66,1:51 AM,3.9,-0.6,73.0,1027.1,16.1,East,7.4,-,,,Clear,100,2015-01-04 08:51:00<br />,2015-01-04 01:51:00,7,1,52,Break
67,2015-01-04 02:00:00,10.42,2:51 AM,3.9,-0.6,73.0,1027.1,16.1,East,9.3,-,,,Clear,90,2015-01-04 09:51:00<br />,2015-01-04 02:51:00,7,2,12,Break
68,2015-01-04 03:00:00,9.03,3:51 AM,3.9,-0.6,73.0,1027.0,16.1,ESE,9.3,-,,,Clear,120,2015-01-04 10:51:00<br />,2015-01-04 03:51:00,7,3,19,Break
69,2015-01-04 04:00:00,10.22,4:51 AM,3.3,-0.6,76.0,1026.8,16.1,Calm,Calm,-,,,Clear,0,2015-01-04 11:51:00<br />,2015-01-04 04:51:00,7,4,10,Break
70,2015-01-04 05:00:00,10.25,5:51 AM,2.8,-1.1,76.0,1027.0,16.1,East,5.6,-,,,Clear,90,2015-01-04 12:51:00<br />,2015-01-04 05:51:00,7,5,6,Break
71,2015-01-04 06:00:00,9.23,6:51 AM,2.8,-1.1,76.0,1027.7,16.1,Calm,Calm,-,,,Clear,0,2015-01-04 13:51:00<br />,2015-01-04 06:51:00,7,6,56,Break
72,2015-01-04 07:00:00,9.48,7:51 AM,2.8,-0.6,79.0,1028.6,16.1,Calm,Calm,-,,,Clear,0,2015-01-04 14:51:00<br />,2015-01-04 07:51:00,7,7,24,Break
73,2015-01-04 08:00:00,8.9,8:51 AM,4.4,0.0,73.0,1029.3,16.1,Calm,Calm,-,,,Clear,0,2015-01-04 15:51:00<br />,2015-01-04 08:51:00,7,8,73,Break
74,2015-01-04 09:00:00,9.04,9:51 AM,7.8,-0.6,56.0,1029.6,16.1,Calm,Calm,-,,,Clear,0,2015-01-04 16:51:00<br />,2015-01-04 09:51:00,7,9,47,Break
75,2015-01-04 10:00:00,10.37,10:51 AM,11.7,-0.6,43.0,1028.7,16.1,South,9.3,-,,,Clear,190,2015-01-04 17:51:00<br />,2015-01-04 10:51:00,7,10,24,Break
76,2015-01-04 11:00:00,9.5,11:51 AM,12.8,-0.6,40.0,1027.6,16.1,ENE,9.3,-,,,Clear,60,2015-01-04 18:51:00<br />,2015-01-04 11:51:00,7,11,18,Break
77,2015-01-04 12:00:00,9.47,12:51 PM,15.6,-0.6,33.0,1026.2,16.1,Variable,7.4,-,,,Clear,0,2015-01-04 19:51:00<br />,2015-01-04 12:51:00,7,12,36,Break
78,2015-01-04 13:00:00,10.64,1:51 PM,16.7,-1.7,29.0,1025.8,16.1,NNE,7.4,-,,,Partly Cloudy,30,2015-01-04 20:51:00<br />,2015-01-04 13:51:00,7,13,59,Break
