,timestamp,energy,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp.1,weekday,hour,rand,seasonal
0,2015-01-01 05:00:00,21.96666667,Clear,2015-01-01 10:53:00<br />,-13.9,,-,44.0,,1021.0,-3.3,,5:53 AM,16.1,WSW,9.3,250,2015-01-01 05:53:00,4,5,4,Holiday
1,2015-01-01 06:00:00,27.75,Clear,2015-01-01 11:53:00<br />,-13.9,,-,46.0,,1021.3,-3.9,,6:53 AM,16.1,SW,11.1,230,2015-01-01 06:53:00,4,6,21,Holiday
2,2015-01-01 07:00:00,32.225,Clear,2015-01-01 12:53:00<br />,-13.9,,-,46.0,,1021.3,-3.9,,7:53 AM,16.1,SW,9.3,230,2015-01-01 07:53:00,4,7,86,Holiday
3,2015-01-01 08:00:00,29.90833333,Clear,2015-01-01 13:53:00<br />,-13.9,,-,40.0,,1021.8,-1.7,,8:53 AM,16.1,WSW,13.0,250,2015-01-01 08:53:00,4,8,29,Holiday
4,2015-01-01 09:00:00,26.96666667,Clear,2015-01-01 14:53:00<br />,-14.4,,29.6,34.0,,1021.8,0.0,,9:53 AM,16.1,WSW,22.2,250,2015-01-01 09:53:00,4,9,11,Holiday
5,2015-01-01 10:00:00,32.36666667,Clear,2015-01-01 15:53:00<br />,-13.9,,35.2,32.0,,1021.1,1.1,,10:53 AM,16.1,SW,24.1,230,2015-01-01 10:53:00,4,10,80,Holiday
6,2015-01-01 11:00:00,21.825,Clear,2015-01-01 16:53:00<br />,-13.3,,40.7,31.0,,1019.5,2.2,,11:53 AM,16.1,West,25.9,260,2015-01-01 11:53:00,4,11,82,Holiday
7,2015-01-01 12:00:00,27.34166667,Clear,2015-01-01 17:53:00<br />,-12.2,,42.6,32.0,,1017.8,3.3,,12:53 PM,16.1,WSW,22.2,250,2015-01-01 12:53:00,4,12,24,Holiday
8,2015-01-01 13:00:00,29.30833333,Clear,2015-01-01 18:53:00<br />,-11.7,,35.2,31.0,,1016.5,4.4,,1:53 PM,16.1,WSW,22.2,240,2015-01-01 13:53:00,4,13,58,Holiday
9,2015-01-01 14:00:00,21.05,Clear,2015-01-01 19:53:00<br />,-12.2,,40.7,29.0,,1015.7,4.4,,2:53 PM,16.1,SW,22.2,230,2015-01-01 14:53:00,4,14,53,Holiday
10,2015-01-01 15:00:00,33.565,Clear,2015-01-01 20:53:00<br />,-11.7,,42.6,32.0,,1015.7,3.9,,3:53 PM,16.1,SW,24.1,230,2015-01-01 15:53:00,4,15,20,Holiday
11,2015-01-01 16:00:00,29.43333333,Clear,2015-01-01 21:53:00<br />,-10.6,,42.6,37.0,,1015.9,2.8,,4:53 PM,16.1,SW,18.5,230,2015-01-01 16:53:00,4,16,64,Holiday
12,2015-01-01 17:00:00,23.65,Clear,2015-01-01 22:53:00<br />,-10.0,,-,41.0,,1015.8,2.2,,5:53 PM,16.1,SW,14.8,230,2015-01-01 17:53:00,4,17,69,Holiday
13,2015-01-01 18:00:00,26.65833333,Clear,2015-01-01 23:53:00<br />,-8.9,,-,46.0,,1015.6,1.7,,6:53 PM,16.1,SW,16.7,220,2015-01-01 18:53:00,4,18,76,Holiday
14,2015-01-01 19:00:00,29.41666667,Clear,2015-01-02 00:53:00<br />,-8.3,,-,50.0,,1016.0,1.1,,7:53 PM,16.1,SW,16.7,230,2015-01-01 19:53:00,4,19,80,Holiday
15,2015-01-01 20:00:00,23.75,Clear,2015-01-02 01:53:00<br />,-8.3,,-,46.0,,1015.8,2.2,,8:53 PM,16.1,WSW,13.0,240,2015-01-01 20:53:00,4,20,25,Holiday
16,2015-01-01 21:00:00,24.1,Clear,2015-01-02 02:53:00<br />,-7.2,,-,52.0,,1016.2,1.7,,9:53 PM,16.1,WSW,13.0,240,2015-01-01 21:53:00,4,21,59,Holiday
17,2015-01-01 22:00:00,27.26666667,Clear,2015-01-02 03:53:00<br />,-7.2,,-,54.0,,1017.1,1.1,,10:53 PM,16.1,West,9.3,260,2015-01-01 22:53:00,4,22,53,Holiday
18,2015-01-01 23:00:00,30.43333333,Clear,2015-01-02 04:53:00<br />,-7.8,,-,50.0,,1017.2,1.7,,11:53 PM,16.1,WSW,11.1,240,2015-01-01 23:53:00,4,23,98,Holiday
19,2015-01-02 00:00:00,30.66666667,Clear,2015-01-02 05:53:00<br />,-8.3,,-,50.0,,1017.1,1.1,,12:53 AM,16.1,WSW,7.4,240,2015-01-02 00:53:00,5,0,21,Break
20,2015-01-02 01:00:00,25.13333333,Clear,2015-01-02 06:53:00<br />,-8.3,,-,52.0,,1017.8,0.6,,1:53 AM,16.1,WSW,9.3,240,2015-01-02 01:53:00,5,1,79,Break
21,2015-01-02 02:00:00,24.96666667,Clear,2015-01-02 07:53:00<br />,-8.3,,-,54.0,,1018.4,0.0,,2:53 AM,16.1,WSW,11.1,240,2015-01-02 02:53:00,5,2,84,Break
22,2015-01-02 03:00:00,30.24166667,Clear,2015-01-02 08:53:00<br />,-8.3,,-,54.0,,1018.7,0.0,,3:53 AM,16.1,WSW,9.3,240,2015-01-02 03:53:00,5,3,78,Break
23,2015-01-02 04:00:00,31.15,Clear,2015-01-02 09:53:00<br />,-8.9,,-,52.0,,1019.1,0.0,,4:53 AM,16.1,WSW,9.3,240,2015-01-02 04:53:00,5,4,8,Break
24,2015-01-02 05:00:00,24.775,Clear,2015-01-02 10:53:00<br />,-8.9,,-,50.0,,1020.3,0.6,,5:53 AM,16.1,WSW,7.4,240,2015-01-02 05:53:00,5,5,33,Break
25,2015-01-02 06:00:00,30.48333333,Mostly Cloudy,2015-01-02 11:53:00<br />,-8.9,,-,50.0,,1021.6,0.6,,6:53 AM,16.1,West,13.0,260,2015-01-02 06:53:00,5,6,12,Break
26,2015-01-02 07:00:00,37.375,Clear,2015-01-02 12:53:00<br />,-8.9,,-,52.0,,1022.2,0.0,,7:53 AM,16.1,WSW,5.6,250,2015-01-02 07:53:00,5,7,43,Break
27,2015-01-02 08:00:00,26.875,Clear,2015-01-02 13:53:00<br />,-8.9,,-,46.0,,1023.2,1.7,,8:53 AM,16.1,West,11.1,260,2015-01-02 08:53:00,5,8,63,Break
28,2015-01-02 09:00:00,29.44166667,Clear,2015-01-02 14:53:00<br />,-8.9,,-,41.0,,1024.0,3.3,,9:53 AM,16.1,West,16.7,270,2015-01-02 09:53:00,5,9,95,Break
29,2015-01-02 10:00:00,23.78333333,Clear,2015-01-02 15:53:00<br />,-8.3,,-,40.0,,1024.0,4.4,,10:53 AM,16.1,West,20.4,280,2015-01-02 10:53:00,5,10,47,Break
30,2015-01-02 11:00:00,27.4,Clear,2015-01-02 16:53:00<br />,-8.3,,40.7,40.0,,1023.2,4.4,,11:53 AM,16.1,WNW,25.9,290,2015-01-02 11:53:00,5,11,20,Break
31,2015-01-02 12:00:00,32.175,Clear,2015-01-02 17:53:00<br />,-7.8,,38.9,38.0,,1022.8,5.6,,12:53 PM,16.1,NW,22.2,320,2015-01-02 12:53:00,5,12,7,Break
32,2015-01-02 13:00:00,29.75,Clear,2015-01-02 18:53:00<br />,-7.8,,-,38.0,,1023.6,5.6,,1:53 PM,16.1,NW,20.4,320,2015-01-02 13:53:00,5,13,78,Break
