,timestamp,energy,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp.1,weekday,hour
0,2015-01-01 05:00:00,46.375,Overcast,2015-01-01 10:56:00<br />,-13.8,,-,57.0,,1017.4,-6.6,,5:56 AM,16.1,SW,16.7,230,2015-01-01 05:56:00,4,5
1,2015-01-01 06:00:00,46.95000076,Overcast,2015-01-01 11:19:00<br />,-14.0,,-,58.0,,1015.5,-7.0,,6:19 AM,16.1,SW,13.0,230,2015-01-01 06:19:00,4,6
2,2015-01-01 07:00:00,45.30000305,Mostly Cloudy,2015-01-01 12:56:00<br />,-12.7,,-,60.0,,1017.1,-6.1,,7:56 AM,16.1,SW,14.8,230,2015-01-01 07:56:00,4,7
3,2015-01-01 08:00:00,44.70000076,Scattered Clouds,2015-01-01 13:56:00<br />,-12.7,,-,55.0,,1017.0,-5.0,,8:56 AM,16.1,SW,22.2,220,2015-01-01 08:56:00,4,8
4,2015-01-01 09:00:00,46.57500076,Partly Cloudy,2015-01-01 14:56:00<br />,-13.3,,-,53.0,,1016.5,-5.0,,9:56 AM,16.1,WSW,20.4,240,2015-01-01 09:56:00,4,9
5,2015-01-01 10:00:00,46.32500076,Clear,2015-01-01 15:56:00<br />,-13.3,,27.8,53.0,,1015.6,-5.0,,10:56 AM,16.1,SSW,16.7,210,2015-01-01 10:56:00,4,10
6,2015-01-01 11:00:00,46.67499924,Clear,2015-01-01 16:56:00<br />,-13.3,,-,45.0,,1014.0,-2.7,,11:56 AM,16.1,SSW,20.4,210,2015-01-01 11:56:00,4,11
7,2015-01-01 12:00:00,47.625,Clear,2015-01-01 17:56:00<br />,-13.8,,37.0,40.0,,1012.3,-1.6,,12:56 PM,16.1,SW,25.9,230,2015-01-01 12:56:00,4,12
8,2015-01-01 13:00:00,37.47499847,Clear,2015-01-01 18:56:00<br />,-13.3,,-,38.0,,1011.5,-0.5,,1:56 PM,16.1,South,20.4,190,2015-01-01 13:56:00,4,13
9,2015-01-01 14:00:00,36.5,Clear,2015-01-01 19:56:00<br />,-13.8,,-,35.0,,1011.4,0.0,,2:56 PM,16.1,WSW,22.2,240,2015-01-01 14:56:00,4,14
